,datetime,eo_code,motohours,eo_model_name,eo_model_id,eo_description,level_1_description,operation_start_date,operation_start_date_ts,motohours_date_ts,motohours_measure_ts
3994,2022-03-09,100000065976,84264.713,Самосвалы CAT 785C,65,Самосвал карьерный 785C №426,Олимпиадинский ГОК,2011-07-31,1312070400,1646784000,334713600
3995,2022-03-09,100000065975,80182.209,Самосвалы CAT 785C,65,Самосвал карьерный 785C №425,Олимпиадинский ГОК,2011-05-26,1306368000,1646784000,340416000
3996,2022-03-09,100000062380,81002.987,Самосвалы CAT 785C,65,Самосвал карьерный 785C №424,Олимпиадинский ГОК,2011-05-20,1305849600,1646784000,340934400
3997,2022-03-09,100000065974,83227.475,Самосвалы CAT 785C,65,Самосвал карьерный 785C №422,Олимпиадинский ГОК,2011-04-30,1304121600,1646784000,342662400
3998,2022-03-09,100000065972,83826.072,Самосвалы CAT 785C,65,Самосвал карьерный 785C №420,Олимпиадинский ГОК,2011-04-30,1304121600,1646784000,342662400
3999,2022-03-09,100000065971,83695.803,Самосвалы CAT 785C,65,Самосвал карьерный 785C №419,Олимпиадинский ГОК,2011-04-30,1304121600,1646784000,342662400
4000,2022-03-09,100000065969,80674.904,Самосвалы CAT 785C,65,Самосвал карьерный 785C №417,Олимпиадинский ГОК,2011-04-30,1304121600,1646784000,342662400
4001,2022-03-09,100000065968,83572.412,Самосвалы CAT 785C,65,Самосвал карьерный 785C №416,Олимпиадинский ГОК,2011-04-30,1304121600,1646784000,342662400
4002,2022-03-09,100000062376,95678.761,Самосвалы CAT 785C,65,Самосвал карьерный 785C №415,Олимпиадинский ГОК,2009-11-04,1257292800,1646784000,389491200
4003,2022-03-09,100000062377,97165.784,Самосвалы CAT 785C,65,Самосвал карьерный 785C №414,Олимпиадинский ГОК,2009-11-02,1257120000,1646784000,389664000
4004,2022-03-09,100000062379,96357.29,Самосвалы CAT 785C,65,Самосвал карьерный 785C №411,Олимпиадинский ГОК,2009-10-02,1254441600,1646784000,392342400
4005,2022-03-09,100000062373,97452.403,Самосвалы CAT 785C,65,Самосвал карьерный 785C №409,Олимпиадинский ГОК,2009-06-24,1245801600,1646784000,400982400
4006,2022-03-09,100000062371,98328.736,Самосвалы CAT 785C,65,Самосвал карьерный 785C №405,Олимпиадинский ГОК,2009-05-06,1241568000,1646784000,405216000
4007,2022-03-09,100000062370,102121.76,Самосвалы CAT 785C,65,Самосвал карьерный 785C №404,Олимпиадинский ГОК,2009-05-06,1241568000,1646784000,405216000
4008,2022-03-09,100000062369,98558.655,Самосвалы CAT 785C,65,Самосвал карьерный 785C №403,Олимпиадинский ГОК,2009-05-06,1241568000,1646784000,405216000
4009,2022-03-09,100000028868,97399.672,Самосвалы CAT 785C,65,Самосвал карьерный 785C №401,Олимпиадинский ГОК,2009-03-04,1236124800,1646784000,410659200
4010,2022-03-09,100000084412,26604.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №29,Полюс Магадан,2018-09-10,1536537600,1646784000,110246400
4011,2022-03-09,100000084411,28467.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №28,Полюс Магадан,2018-07-31,1532995200,1646784000,113788800
4012,2022-03-09,100000084410,29047.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №27,Полюс Магадан,2018-07-31,1532995200,1646784000,113788800
4013,2022-03-09,100000084409,29130.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №26,Полюс Магадан,2018-07-31,1532995200,1646784000,113788800
4014,2022-03-09,100000084408,29130.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №25,Полюс Магадан,2018-06-30,1530316800,1646784000,116467200
4015,2022-03-08,100000065978,43395.745,Самосвалы CAT 785C,65,Самосвал карьерный 785C №447,Олимпиадинский ГОК,2016-08-10,1470787200,1646697600,175910400
4016,2022-03-09,100000084407,27693.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №24,Полюс Магадан,2018-06-30,1530316800,1646784000,116467200
4017,2022-03-09,100000084406,29600.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №23,Полюс Магадан,2018-06-30,1530316800,1646784000,116467200
4018,2022-03-09,100000084405,29086.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №22,Полюс Магадан,2018-05-30,1527638400,1646784000,119145600
4019,2022-03-09,100000084404,29227.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №21,Полюс Магадан,2018-05-30,1527638400,1646784000,119145600
4020,2022-03-09,100000084403,30059.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №20,Полюс Магадан,2018-05-30,1527638400,1646784000,119145600
4021,2022-03-09,100000084402,30234.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №19,Полюс Магадан,2018-05-30,1527638400,1646784000,119145600
4022,2022-03-09,100000084401,30373.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №18,Полюс Магадан,2018-04-23,1524441600,1646784000,122342400
4023,2022-03-09,100000084400,26651.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №17,Полюс Магадан,2018-04-23,1524441600,1646784000,122342400
4024,2022-03-09,100000084399,29962.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №16,Полюс Магадан,2018-04-23,1524441600,1646784000,122342400
4025,2022-03-08,100000062373,97440.403,Самосвалы CAT 785C,65,Самосвал карьерный 785C №409,Олимпиадинский ГОК,2009-06-24,1245801600,1646697600,400896000
4026,2022-03-09,100000084397,29503.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №14,Полюс Магадан,2018-03-16,1521158400,1646784000,125625600
4027,2022-03-09,100000084396,31680.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №13,Полюс Магадан,2018-03-16,1521158400,1646784000,125625600
