,datetime,eo_code,motohours
31801,2021-11-17,100000062373,95090.857
31803,2021-11-17,100000062372,95109.043
31805,2021-11-17,100000062370,99696.026
31807,2021-11-17,100000028868,94988.197
31809,2021-11-17,100000062382,78552.819
31810,2021-11-17,100000062381,79732.606
31813,2021-11-17,100000065974,80842.249
31815,2021-11-17,100000065969,78277.756
31816,2021-11-17,100000065968,81237.044
31818,2021-11-17,100000065616,85135.559
31821,2021-11-17,100000065614,83974.677
31822,2021-11-17,100000065609,80887.691
31825,2021-11-17,100000065608,83064.649
31827,2021-11-17,100000062380,78578.173
31828,2021-11-17,100000062392,63227.132
31831,2021-11-17,100000008674,29181.75
31832,2021-11-16,100000008674,29169.75
31833,2021-11-16,100000008673,29851.21
31834,2021-11-16,100000008674,29157.87
31835,2021-11-16,100000008673,29839.51
31837,2021-11-17,100000065620,83403.471
31839,2021-11-17,100000065614,83963.677
31841,2021-11-17,100000065607,82649.202
31843,2021-11-17,100000062371,96015.303
31844,2021-11-17,100000062370,99684.026
31847,2021-11-17,100000028868,94976.317
31849,2021-11-17,100000065979,40756.749
31851,2021-11-17,100000065978,40952.246
31852,2021-11-17,100000065637,71894.046
31855,2021-11-17,100000065627,60409.911
31857,2021-11-17,100000062397,61055.19
31859,2021-11-17,100000062384,77870.899
31861,2021-11-17,100000065643,68820.305
31863,2021-11-17,100000065641,69904.117
31864,2021-11-17,100000065640,69760.278
31866,2021-11-17,100000065981,41024.985
31868,2021-11-17,100000065977,40096.987
31870,2021-11-17,100000062376,93198.197
31873,2021-11-17,100000062369,96065.387
31875,2021-11-17,100000065975,77720.049
31877,2021-11-17,100000065972,81381.454
31879,2021-11-17,100000065971,81313.456
31880,2021-11-17,100000065619,78895.873
31883,2021-11-17,100000065613,84804.229
31885,2021-11-17,100000065612,86050.74
31887,2021-11-17,100000065611,83986.426
31888,2021-11-17,100000065606,87983.307
31891,2021-11-17,100000065634,58511.892
31892,2021-11-17,100000065632,57133.392
31895,2021-11-17,100000065625,59282.929
31897,2021-11-17,100000062394,63143.576
31898,2021-11-17,100000062393,57834.507
31902,2021-11-17,100000062391,62728.245
31903,2021-11-17,100000062390,64417.64
31905,2021-11-17,100000062389,54401.84
31907,2021-11-17,100000062387,54161.288
31910,2021-11-17,100000065636,57047.146
31912,2021-11-17,100000065635,59792.643
31914,2021-11-17,100000065633,57076.066
31916,2021-11-17,100000065631,56325.843
31918,2021-11-17,100000065630,59816.715
31920,2021-11-17,100000065629,59943.202
31922,2021-11-17,100000065624,61531.987
31924,2021-11-17,100000065623,62948.762
31925,2021-11-17,100000062399,59925.491
31927,2021-11-17,100000062396,60741.527
31929,2021-11-17,100000062395,60729.537
31931,2021-11-17,100000062388,56970.822
31933,2021-11-17,100000062386,54020.124
31935,2021-11-17,100000062383,79924.334
31938,2021-11-17,100000062381,79720.756
31939,2021-11-17,100000065622,81299.02
31942,2021-11-17,100000065974,80831.209
31943,2021-11-17,100000065970,83551.517
31945,2021-11-17,100000065969,78266.714
31947,2021-11-17,100000065618,83254.334
31949,2021-11-17,100000065617,81707.916
31951,2021-11-17,100000065967,78467.202
31954,2021-11-17,100000065609,80875.691
31956,2021-11-17,100000065639,71104.565
31957,2021-11-17,100000065638,69136.283
31960,2021-11-17,100000062377,94757.546
31962,2021-11-17,100000062373,95079.997
31963,2021-11-17,100000065980,41471.163
31966,2021-11-17,100000062379,93985.786
31968,2021-11-17,100000062378,94556.159
31969,2021-11-17,100000062372,95098.6
31971,2021-11-17,100000062382,78541.149
31974,2021-11-17,100000065976,81825.001
31976,2021-11-17,100000065968,81225.074
31977,2021-11-17,100000065616,85123.819
31980,2021-11-17,100000065615,83424.312
31982,2021-11-17,100000065608,83052.649
31983,2021-11-17,100000062380,78566.253
31984,2021-11-17,100000065628,52674.979
31987,2021-11-17,100000065626,61899.429
31988,2021-11-17,100000062398,58057.175
31990,2021-11-17,100000062385,50371.044
31993,2021-11-16,100000065975,77710.219
31996,2021-11-16,100000062397,61044.282
31999,2021-11-16,100000062399,59913.561
32001,2021-11-16,100000065629,59931.202
32003,2021-11-16,100000065633,57066.726
32004,2021-11-16,100000065976,81813.201
32007,2021-11-16,100000065622,81287.02
32008,2021-11-16,100000065618,83248.334
32010,2021-11-16,100000062388,56960.042
32012,2021-11-16,100000065967,78456.337
32015,2021-11-16,100000062378,94544.439
32017,2021-11-16,100000065638,69126.043
32018,2021-11-16,100000065637,71882.406
32020,2021-11-16,100000065979,40745.925
32023,2021-11-16,100000065978,40940.326
32025,2021-11-16,100000065981,41013.975
32026,2021-11-16,100000065616,85111.989
32029,2021-11-16,100000065969,78255.759
32030,2021-11-16,100000065968,81213.084
32032,2021-11-16,100000065608,83040.649
32035,2021-11-16,100000065972,81369.594
32037,2021-11-16,100000065974,80820.181
32040,2021-11-16,100000062383,79912.414
32042,2021-11-16,100000062382,78541.119
32043,2021-11-16,100000062381,79709.778
32046,2021-11-16,100000065630,59804.715
32047,2021-11-16,100000065628,52662.979
32050,2021-11-16,100000065635,59780.643
32051,2021-11-16,100000062398,58045.425
32054,2021-11-16,100000062395,60717.557
32056,2021-11-16,100000062393,57822.547
32057,2021-11-16,100000062386,54009.135
32058,2021-11-16,100000062385,50364.664
32059,2021-11-16,100000062380,78554.333
32061,2021-11-16,100000062379,93973.926
32062,2021-11-16,100000062377,94746.016
32065,2021-11-16,100000062373,95068.077
32066,2021-11-16,100000062369,96053.487
32068,2021-11-16,100000065643,68809.305
32071,2021-11-16,100000065641,69892.117
32072,2021-11-16,100000065977,40085.337
32074,2021-11-16,100000065606,87971.307
32077,2021-11-16,100000065619,78884.013
32079,2021-11-16,100000062384,77858.919
32081,2021-11-16,100000062392,63216.207
32082,2021-11-16,100000062391,62720.895
32085,2021-11-16,100000062390,64405.76
32087,2021-11-16,100000065627,60397.911
32089,2021-11-16,100000065626,61887.539
32091,2021-11-16,100000065625,59270.929
32092,2021-11-16,100000062370,99672.026
32095,2021-11-16,100000062372,95086.86
32097,2021-11-16,100000065631,56313.843
32099,2021-11-16,100000065634,58500.752
32100,2021-11-16,100000065636,57035.346
32102,2021-11-16,100000065639,71093.615
32105,2021-11-16,100000062389,54391.97
32106,2021-11-16,100000062396,60730.402
32109,2021-11-16,100000065624,61519.987
32110,2021-11-16,100000065623,62936.772
32112,2021-11-16,100000062394,63132.206
32115,2021-11-16,100000062387,54150.512
32116,2021-11-16,100000065617,81695.916
32118,2021-11-16,100000065614,83951.727
32120,2021-11-16,100000065613,84794.229
32123,2021-11-16,100000065612,86039.03
32124,2021-11-16,100000065971,81304.886
32127,2021-11-16,100000065970,83539.727
32129,2021-11-16,100000065620,83397.561
32131,2021-11-16,100000065611,83974.426
32133,2021-11-16,100000065609,80863.771
32135,2021-11-16,100000065607,82637.202
32136,2021-11-16,100000062376,93186.347
32139,2021-11-16,100000062371,96003.343
32141,2021-11-16,100000028868,94964.447
32142,2021-11-16,100000062398,58033.485
32145,2021-11-16,100000062396,60719.102
32146,2021-11-16,100000065624,61508.977
32149,2021-11-16,100000065623,62925.482
32151,2021-11-16,100000065631,56302.463
32152,2021-11-16,100000065630,59793.425
32154,2021-11-16,100000065628,52652.139
32156,2021-11-16,100000065636,57023.976
32158,2021-11-16,100000062386,53998.215
32161,2021-11-16,100000062381,79698.158
32162,2021-11-16,100000065617,81684.986
32164,2021-11-16,100000065616,85100.309
32166,2021-11-16,100000065974,80809.733
32168,2021-11-16,100000065969,78243.929
32171,2021-11-16,100000065620,83385.791
32173,2021-11-16,100000065614,83940.197
32175,2021-11-16,100000062379,93961.986
32176,2021-11-16,100000062377,94734.496
32179,2021-11-16,100000062373,95056.247
32181,2021-11-16,100000062372,95075.05
32182,2021-11-16,100000062370,99660.026
32185,2021-11-16,100000028868,94953.724
32187,2021-11-16,100000065609,80852.481
32189,2021-11-16,100000065977,40073.757
32191,2021-11-16,100000062387,54138.612
32192,2021-11-16,100000065640,69760.278
32194,2021-11-16,100000065639,71082.215
32196,2021-11-16,100000065641,69880.917
32198,2021-11-16,100000065622,81275.47
32200,2021-11-16,100000065970,83528.801
32202,2021-11-16,100000065967,78444.907
32204,2021-11-16,100000065611,83962.916
32206,2021-11-16,100000065606,87959.307
32209,2021-11-16,100000065619,78873.577
32210,2021-11-16,100000065626,61875.539
32213,2021-11-16,100000065625,59258.929
32214,2021-11-16,100000065632,57127.692
32217,2021-11-16,100000062392,63208.577
32218,2021-11-16,100000062390,64393.78
32221,2021-11-16,100000062389,54381.038
32223,2021-11-16,100000062385,50363.624
32225,2021-11-16,100000062382,78530.239
32227,2021-11-16,100000065976,81801.571
32228,2021-11-16,100000065971,81292.986
32230,2021-11-16,100000065968,81201.614
32233,2021-11-16,100000065615,83424.312
32235,2021-11-16,100000065613,84783.299
32237,2021-11-16,100000065612,86028.11
32239,2021-11-16,100000065608,83029.029
32240,2021-11-16,100000065607,82626.502
32242,2021-11-16,100000062397,61032.402
32244,2021-11-16,100000062394,63120.296
32246,2021-11-16,100000062393,57811.637
32249,2021-11-16,100000065634,58489.482
32251,2021-11-16,100000062378,94533.119
32253,2021-11-16,100000062376,93174.627
32254,2021-11-16,100000062371,95992.203
32257,2021-11-16,100000062369,96043.627
32259,2021-11-16,100000062380,78543.723
32260,2021-11-16,100000065979,40734.695
32262,2021-11-16,100000065638,69115.043
32265,2021-11-16,100000065637,71871.166
32267,2021-11-16,100000065627,60387.671
32269,2021-11-16,100000065635,59769.263
32270,2021-11-16,100000065633,57058.486
32273,2021-11-16,100000065629,59919.712
32274,2021-11-16,100000065981,41002.425
32276,2021-11-16,100000065980,41465.413
32278,2021-11-16,100000065978,40929.256
32281,2021-11-16,100000065643,68797.795
32282,2021-11-16,100000062388,56948.732
32284,2021-11-16,100000062384,77847.149
32287,2021-11-16,100000062383,79900.654
32288,2021-11-16,100000065975,77698.963
32291,2021-11-16,100000065618,83242.334
32292,2021-11-16,100000062399,59901.701
32294,2021-11-16,100000062395,60705.657
