Документ измерений,Дата,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
30793600,3/11/2022,"81106,591",МТЧ,100000062382
30793560,3/11/2022,"1069389,841",км,100000062382
30793587,3/11/2022,"82193,461",МТЧ,100000062381
30793571,3/11/2022,"1037755,265",км,100000062381
30793562,3/11/2022,"84321,702",МТЧ,100000065976
30793547,3/11/2022,"1094095,618",км,100000065976
30793533,3/11/2022,"80239,581",МТЧ,100000065975
30793516,3/11/2022,"1020007,753",км,100000065975
30793481,3/11/2022,"29658,000",МТЧ,100000084406
30793350,3/11/2022,"370524,000",км,100000084406
30793441,3/11/2022,"1031003,237",км,100000062380
30793428,3/11/2022,"80998,143",МТЧ,100000065967
30793406,3/11/2022,"1044888,313",км,100000065967
30793388,3/11/2022,"83278,951",МТЧ,100000065974
30793342,3/11/2022,"1032844,943",км,100000065974
30793280,3/11/2022,"83883,210",МТЧ,100000065972
30793303,3/11/2022,"1081101,908",км,100000065972
30793288,3/11/2022,"83753,759",МТЧ,100000065971
30793265,3/11/2022,"1047552,733",км,100000065971
30793253,3/11/2022,"85886,202",МТЧ,100000065970
30793235,3/11/2022,"29146,000",МТЧ,100000084405
30793221,3/11/2022,"364872,000",км,100000084405
30793211,3/11/2022,"1116933,305",км,100000065970
30793198,3/11/2022,"80729,306",МТЧ,100000065969
30793166,3/11/2022,"1052015,031",км,100000065969
30793149,3/11/2022,"95737,451",МТЧ,100000062376
30793134,3/11/2022,"1211291,669",км,100000062376
30793122,3/11/2022,"97224,008",МТЧ,100000062377
30793112,3/11/2022,"1229733,508",км,100000062377
30793074,3/11/2022,"29286,000",МТЧ,100000084404
30793081,3/11/2022,"96414,697",МТЧ,100000062379
30793063,3/11/2022,"366514,000",км,100000084404
30793055,3/11/2022,"1236503,459",км,100000062379
30792910,3/11/2022,"97507,946",МТЧ,100000062373
30793001,3/11/2022,"1231400,974",км,100000062373
30792966,3/11/2022,"1210286,309",км,100000062372
30792946,3/11/2022,"98376,217",МТЧ,100000062371
30792912,3/11/2022,"1227648,769",км,100000062371
30792760,3/11/2022,"102173,040",МТЧ,100000062370
30792877,3/11/2022,"30118,000",МТЧ,100000084403
30792881,3/11/2022,"1235617,211",км,100000062370
30792846,3/11/2022,"379247,000",км,100000084403
30792856,3/11/2022,"98616,096",МТЧ,100000062369
30792815,3/11/2022,"1238564,427",км,100000062369
30792706,3/11/2022,"97456,088",МТЧ,100000028868
30792685,3/11/2022,"1217086,792",км,100000028868
30792736,3/11/2022,"30293,000",МТЧ,100000084402
30792614,3/11/2022,"381728,000",км,100000084402
30792580,3/11/2022,"30430,000",МТЧ,100000084401
30792536,3/11/2022,"377994,000",км,100000084401
30792428,3/11/2022,"26711,000",МТЧ,100000084400
30792284,3/11/2022,"336397,000",км,100000084400
30792270,3/11/2022,"30022,000",МТЧ,100000084399
30792214,3/11/2022,"372578,000",км,100000084399
30792053,3/11/2022,"29558,000",МТЧ,100000084397
30792019,3/11/2022,"362853,000",км,100000084397
30791936,3/11/2022,"31740,000",МТЧ,100000084396
30791922,3/11/2022,"393633,000",км,100000084396
30790799,3/11/2022,"533950,397",км,100000065978
30790337,3/11/2022,"878761,494",км,100000065624
30790321,3/11/2022,"986544,422",км,100000065638
30790272,3/11/2022,"994083,510",км,100000065640
30790223,3/11/2022,"1200600,590",км,100000065606
30790058,3/11/2022,"62935,512",МТЧ,100000062396
30790192,3/11/2022,"831002,293",км,100000062394
30790167,3/11/2022,"80720,518",МТЧ,100000065969
30788832,3/11/2022,"31765,640",МТЧ,100000008674
30788627,3/11/2022,"32451,830",МТЧ,100000008673
30781769,3/11/2022,"43554,416",МТЧ,100000065981
30781753,3/11/2022,"546627,468",км,100000065981
30781742,3/11/2022,"43985,972",МТЧ,100000065980
30781716,3/11/2022,"547364,725",км,100000065980
30781699,3/11/2022,"43304,389",МТЧ,100000065979
30781681,3/11/2022,"541873,086",км,100000065979
30781672,3/11/2022,"43449,402",МТЧ,100000065978
30781631,3/11/2022,"42635,234",МТЧ,100000065977
30781624,3/11/2022,"535389,386",км,100000065977
30780980,3/11/2022,"62319,180",МТЧ,100000065635
30781042,3/11/2022,"814045,122",км,100000065635
30780958,3/11/2022,"59652,697",МТЧ,100000065636
30780838,3/11/2022,"809058,981",км,100000065636
30780986,3/11/2022,"61029,944",МТЧ,100000065634
30780967,3/11/2022,"823551,055",км,100000065634
30780946,3/11/2022,"59656,681",МТЧ,100000065633
30780928,3/11/2022,"815953,882",км,100000065633
30780902,3/11/2022,"58908,021",МТЧ,100000065631
30780891,3/11/2022,"797650,066",км,100000065631
30780883,3/11/2022,"62493,765",МТЧ,100000065629
